spoken,Storage,EdgeTX 2.9,OpenTX 2.3,OpenTx 2.2,OpenTX 2.1,included at v,notes
degree celsius,\celsius0.wav,\SYSTEM\celsius0.wav,\SYSTEM\celsius0.wav,\SYSTEM\celsius0.wav,\SYSTEM\0135.wav,1,
degree fahrenheit,\fahr0.wav,\SYSTEM\fahr0.wav,\SYSTEM\fahr0.wav,\SYSTEM\fahr0.wav,\SYSTEM\0137.wav,1,
degree per second,\dgsec0.wav,\dgsec0.wav,\dgsec0.wav,\dgsec0.wav,\dgsec0.wav,1.2,
degrees,\degree1.wav,\SYSTEM\degree1.wav,\SYSTEM\degree1.wav,\SYSTEM\degree1.wav,\SYSTEM\0152.wav,1,
degrees celsius,\celsius1.wav,\SYSTEM\celsius1.wav,\SYSTEM\celsius1.wav,\SYSTEM\celsius1.wav,\SYSTEM\0136.wav,1,
degrees fahrenheit,\fahr1.wav,\SYSTEM\fahr1.wav,\SYSTEM\fahr1.wav,\SYSTEM\fahr1.wav,\SYSTEM\0138.wav,1,
degrees per second,\dgsec1.wav,\dgsec1.wav,\dgsec1.wav,\dgsec1.wav,\dgsec1.wav,1.2,
Did you mean to do that?,\didu.wav,\didu.wav,\didu.wav,\didu.wav,\didu.wav,1.2,
Difflock,\dfk.wav,\dfk.wav,\dfk.wav,\dfk.wav,\dfk.wav,1.5,
Difflock off,\dfkof.wav,\dfkof.wav,\dfkof.wav,\dfkof.wav,\dfkof.wav,1.5,
Difflock on,\dfkon.wav,\dfkon.wav,\dfkon.wav,\dfkon.wav,\dfkon.wav,1.5,
Difflocks,\dfks.wav,\dfks.wav,\dfks.wav,\dfks.wav,\dfks.wav,1.5,
Difflocks off,\dfksof.wav,\dfksof.wav,\dfksof.wav,\dfksof.wav,\dfksof.wav,1.5,
Difflocks on,\dfkson.wav,\dfkson.wav,\dfkson.wav,\dfkson.wav,\dfkson.wav,1.5,
disabled,\dsbld.wav,\disabl.wav,\dsbld.wav,\dsbld.wav,\dsbld.wav,1.2,
disarmed,\disa.wav,\disarm.wav,\disa.wav,\disa.wav,\disa.wav,1,Re-recorded at v1.3
Distance,\dist.wav,\dist.wav,\dist.wav,\dist.wav,\dist.wav,1,Also used by Yaapu Script
Don't touch me there !,\dnttch.wav,\dnttch.wav,\dnttch.wav,\dnttch.wav,\dnttch.wav,1.4,
